Time,Speaker,Transcripts,,,,,,,
0:00,Eunice,"Yeah try to speak as loud and clear as you can just to reiterate that your participation the study is voluntary. You can change your mind about participation, even if you've provided us with consent previously, you don't have to answer any questions you don't want to answer you can withdraw at any point now or later no consequences. And obviously confidentiality so this so the first question is, have you ever encountered a homeless person or homeless people before?",,,,,,,
0:30,Ray,Yes. ,,,,,,,
0:32,Eunice,What did you notice about him? Her them?,,,,,,,
0:36,Ray,"Usually just like the, maybe the clothes they're wearing, or when they have all their belongings in maybe like, one area or like item?",,,,,,,
0:47,Eunice,What do you think contributes to people being homeless?,,,,,,,
0:52,Ray,"in probably just in most cases, I would assume unemployment leads to it and then substance abuse can always be a factor.",,,,,,,
1:01,Eunice,What challenges do you think they are experiencing and in what ways do you think homeless people could be helped? what do you think they need the most,,,,,,,
1:10,Ray,"I think I feel like cities can do more to like more programs to try and help them I know that in Boston there is definitely like centers for them, but outside of like major like cities or like Metropolis and stuff, it seems like there's not a lot of support for homeless people whatsoever, like in more suburban areas like farther west to Massachusetts, for example.",,,,,,,
1:34,Eunice,"Okay, so that was one part of the questions now we're going to move onto questions about engineering design. So have you ever had design experience? ",,,,,,,
1:43,Ray,Not particularly no.,,,,,,,
1:45,Eunice,Okay. What do you think about them when you hear the phrase engineering design?,,,,,,,
1:50,Ray,"Um, I think of like, the popsicle stick bridges that we were making like middle school.",,,,,,,
1:59,Eunice,Have you ever heard about humanizing engineering design?,,,,,,,
2:02,Ray,no,,,,,,,
2:04,Eunice,"If not, what do you think that term means?",,,,,,,
2:06,Ray,What was it again?,,,,,,,
2:08,Eunice,humanizing engineer designer or human centered engineering,,,,,,,
2:17,Ray,"maybe more collaborative type engineering, or it could be like, just you know, obviously focused more on the human experience rather than say like, infrastructure is like the main thing I think of when I think of engineering.",,,,,,,
2:34,Eunice,"Do you think about humans play a role in engineering. if so, in what ways?",,,,,,,
2:40,Ray,"i think so So definitely, I mean, I can't think of like a computer really being able to engineer design something necessarily think it takes a lot of like minds coming together to make something that's like a finished product and that works.",,,,,,,
2:54,Eunice,You think of one failed design your entire life? Why do you consider? anything you've seen on the news?,,,,,,,
3:03,Ray,"I had a, like a STEM class in middle school. And they showed us a bridge and I remember where it was, but like it got so windy one day that it started like wobbling back and forth until like eventually fell. So",,,,,,,
3:19,Eunice,You like or enjoy playing with technology? ,,,,,,,
3:23,Ray,Yes i do,,,,,,,
3:25,Eunice,If so which one?,,,,,,,
3:27,Ray,"Like I like I was saying on the way here. I do like using VR, but just in general, I feel like I'm pretty invested in just like new technologies and just like, kind of testing them out.",,,,,,,
3:40,Eunice,And then there's one last question. What's a technology that you're currently excited about? ,,,,,,,
3:49,Ray,I think the whole Metaverse thing is so funny to me. I'm interested to see where it goes. Because right now it's really like nothing new. So I'm interested to see if it's ever gonna actually become anything like innovative. ,,,,,,,
4:02,Eunice,"Okay, thank you.",,,,,,,
,,,,,,,,,
